2015/05/01 15:39:40 - Connecting to AWS region us-east-1.
2015/05/01 15:39:40 - Calculating new unique cluster name for request 1085.
2015/05/01 15:39:40 - Creating new cluster name, Hpcc-ZBH7.
2015/05/01 15:39:40 - Creating Hpcc-ZBH7 security group.
2015/05/01 15:39:42 - Creating Hpcc-ZBH7 key pair.
2015/05/01 15:39:42 - Launching 20 m1.large nodes using ami-72ac861a.
2015/05/01 15:39:43 - Reservation ID r-27e505d6 created.
2015/05/01 15:39:43 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:39:50 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:39:57 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:04 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:10 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:17 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:23 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:30 - Waiting for 16 of 20 nodes to launch.
2015/05/01 15:40:37 - Waiting for 12 of 20 nodes to launch.
2015/05/01 15:40:43 - Waiting for 5 of 20 nodes to launch.
2015/05/01 15:40:48 - Waiting for 5 of 20 nodes to launch.
2015/05/01 15:40:54 - Waiting for 2 of 20 nodes to launch.
2015/05/01 15:40:59 - Pending instances have completed.
2015/05/01 15:40:59 - Checking each node launched properly.
2015/05/01 15:41:07 - 52.7.33.50:      Software installation finished.
2015/05/01 15:41:07 - 52.7.33.50:      Sending /home/ubuntu/node_health_script via SFTP.
2015/05/01 15:41:07 - 52.7.30.77:      No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/05/01 15:41:07 - 52.7.30.77:      Completed check of node 52.7.30.77.
2015/05/01 15:41:07 - 52.7.32.209:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/05/01 15:41:07 - 52.7.32.209:     Completed check of node 52.7.32.209.
2015/05/01 15:41:07 - 52.7.33.50:      Checking file contents.
2015/05/01 15:41:07 - 52.7.33.50:      Remote file contents confirmed.
2015/05/01 15:41:07 - 52.7.33.82:      No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/05/01 15:41:07 - 52.7.33.82:      Completed check of node 52.7.33.82.
2015/05/01 15:41:07 - 52.7.33.50:      No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/05/01 15:41:07 - 52.7.33.50:      Completed check of node 52.7.33.50.
2015/05/01 15:41:11 - 52.7.34.175:     Checking software installation completed.
2015/05/01 15:41:11 - 52.7.34.175:     Software installation finished.
2015/05/01 15:41:11 - 52.7.34.175:     Sending /home/ubuntu/node_health_script via SFTP.
2015/05/01 15:41:11 - 52.6.19.189:     Software installation finished.
2015/05/01 15:41:11 - 52.6.19.189:     Sending /home/ubuntu/node_health_script via SFTP.
2015/05/01 15:41:11 - 52.7.34.175:     Checking file contents.
2015/05/01 15:41:11 - 52.7.34.175:     Remote file contents confirmed.
2015/05/01 15:41:11 - 52.6.19.189:     Checking file contents.
